city,domain,contain,,,,,
Alabama,agtransport.usda.gov,,,,,,
Alaska,bis.data.commerce.gov,,,,,,
Arizona,bythenumbers.sco.ca.gov,,,,,,
Arkansas,census.data.commerce.gov,,,,,,
California,chronicdata.cdc.gov,,,,,,
Colorado,citydata.mesaaz.gov,,,,,,
Connecticut,corstat.coronaca.gov,,,,,,
Delaware,covid19.buffalony.gov,,,,,,
Florida,dashboard.hawaii.gov,,,,,,
Georgia,dashboarddata.caloes.ca.gov,,,,,,
Hawaii,data.alaska.gov,,,,,,
Idaho,data.albanyny.gov,,,,,,
Illinois,data.americorps.gov,,,,,,
Indiana,data.auburnwa.gov,,,,,,
Iowa,data.bayareametro.gov,,,,,,
Kansas,data.bts.gov,,,,,,
Kentucky,data.buffalony.gov,,,,,,
Louisiana,data.cdc.gov,,,,,,
Maine,data.commerce.gov,,,,,,
Maryland,data.cstx.gov,,,,,,
Massachusetts,data.debtwatch.treasurer.ca.gov,,,,,,
Michigan,data.delaware.gov,,,,,,
Minnesota,data.drpt.virginia.gov,,,,,,
Mississippi,data.dumfriesva.gov,,,,,,
Missouri,data.edd.ca.gov,,,,,,
Montana,data.energystar.gov,,,,,,
Nebraska,data.everettwa.gov,,,,,,
Nevada,data.exim.gov,,,,,,
New Hampshire,data.framinghamma.gov,,,,,,
New Jersey,data.ftb.ca.gov,,,,,,
New Mexico,data.fultoncountyga.gov,,,,,,
New York,data.grandrapidsmi.gov,,,,,,
North Carolina,data.hampton.gov,,,,,,
North Dakota,data.hartford.gov,,,,,,
Ohio,data.hawaii.gov,,,,,,
Oklahoma,data.internal.drpt.virginia.gov,,,,,,
Oregon,data.kingcounty.gov,,,,,,
Pennsylvania,data.lacounty.gov,,,,,,
Rhode Island,data.littlerock.gov,,,,,,
South Carolina,data.macoupincountyil.gov,,,,,,
South Dakota,data.melbourne.vic.gov.au,,,,,,
Tennessee,data.memphistn.gov,,,,,,
Texas,data.mesaaz.gov,,,,,,
Utah,data.nasa.gov,,,,,,
Vermont,data.nj.gov,,,,,,
Virginia,data.norfolk.gov,,,,,,
Washington,data.oaklandca.gov,,,,,,
West Virginia,data.oce.pr.gov,,,,,,
Wisconsin,data.ohiocourtofclaims.gov,,,,,,
Wyoming,data.ojp.usdoj.gov,,,,,,
AL,data.pa.gov,,,,,,
AK,data.permits.performance.gov,,,,,,
AZ,data.pinellas.gov,,,,,,
AR,data.pr.gov,,,,,,
CA,data.providenceri.gov,,,,,,
CO,data.readingpa.gov,,,,,,
CT,data.redmond.gov,,,,,,
DE,data.sandiegocounty.gov,,,,,,
FL,data.sonomacounty.ca.gov,,,,,,
GA,data.stocktonca.gov,,,,,,
HI,data.sunshinecoast.qld.gov.au,,,,,,
ID,data.texas.gov,,,,,,
IL,data.transportation.gov,,,,,,
IN,data.usaid.gov,,,,,,
IA,data.vermont.gov,,,,,,
KS,data.virginia.gov,,,,,,
KY,data.wa.gov,,,,,,
LA,datadiscovery.nlm.nih.gov,,,,,,
ME,datahub.transportation.gov,,,,,,
MD,eda.data.commerce.gov,,,,,,
MA,esa.data.commerce.gov,,,,,,
MI,fiscalfocus.pittsburghpa.gov,,,,,,
MN,health.data.ny.gov,,,,,,
MS,healthdata.gov,,,,,,
MO,healthdata.nj.gov,,,,,,
MT,healthstat.dph.sbcounty.gov,,,,,,
NE,hicscdata.hawaii.gov,,,,,,
NV,highriskregions.auditor.ca.gov,,,,,,
NH,highways.hidot.hawaii.gov,,,,,,
NJ,insights.cincinnati-oh.gov,,,,,,
NM,internal.agtransport.usda.gov,,,,,,
NY,internal.data.buffalony.gov,,,,,,
